X	Sample_53	Sample_54	Sample_55	Sample_56	Sample_57	Sample_58	Sample_59	Sample_60	Sample_61	Sample_62	Sample_63	Sample_64	Sample_65	Sample_66	Sample_67	Sample_68	Sample_69	Sample_70	Sample_71	Sample_72	Sample_73	Sample_74	Sample_75	Sample_76	Sample_77	Sample_78
A0A3Q2HJJ4	NA	NA	NA	NA	NA	NA	NA	1.832796	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.56196	NA	4.46071	NA
A0A3Q2HK38	1257.69	582.462	1066.1	422.63	458.917	1576.43	735.639	853.723	663.099	522.947	716.68	566.904	664.267	1005.13	882.396	935.801	632.079	1064.35	730.916	814.604	597.087	514.642	1274.92	965.041	1615.44	1231.21
A0A3Q2HLV9	116.27	NA	192.664	10.61727	NA	231.878	29.2528	169.462	146.515	NA	19.1502	30.6388	55.0673	NA	60.3964	95.6377	24.3044	175.223	138.845	85.4717	NA	40.176	147.458	101.645	198.356	83.0458
A0A3Q2HMJ3	5211.98	3803.41	4282.81	3037.01	2245.15	13425.4	4493.92	5836.6	2822.29	4400.34	4207.61	3340.05	5538.8	4573.04	6412.2	7458.04	5505.03	4704.03	4618.01	5492.75	8089.78	3884.91	7535.22	6212.39	7668.08	8544.34
A0A3Q2HN78	7.03416	8.68986	NA	NA	385.332	4.21317	20.3751	NA	9.75355	5.37007	3.30558	24.0749	NA	19.8653	4.36588	3.29439	2.85169	5.18094	7.49637	1.437959	21.5094	7.60476	NA	2.87422	4.1932	NA
A0A3Q2HPX3	8.89855	NA	NA	2.22813	NA	6.25332	NA	3.5317	2.80292	NA	NA	4.71047	4.34661	7.44527	1.941851	2.94609	4.01291	3.98113	2.85823	4.27635	NA	1.47113	2.9073	6.39872	NA	10.22431
F6TY91	NA	69.8632	NA	64.2076	70.0654	1.449592	49.2274	3.24157	17.4167	1.661596	NA	76.8334	NA	NA	NA	NA	NA	33.3719	97.7506	NA	14.3094	3.35279	NA	2.86621	NA	57.9269
A0A3Q2HRL2	5.21037	2.57152	NA	NA	NA	7.53847	NA	4.36838	NA	NA	NA	NA	NA	7.24792	NA	8.85401	3.03629	7.55823	2.03614	14.0287	NA	40.6131	3.96846	8.74098	12.965	3.15843
A0A3Q2HRX3	5168.04	2912.77	5668.88	6289.17	8630.59	1374.83	3345.99	5038.42	9052.78	4194.82	8595.97	6742.1	1557.13	4791.55	1959.96	1816.67	1150.62	5895.51	6800.89	2235.61	6532.59	6661.68	5015.88	4143.77	5262.97	7462.17
A0A3Q2HTG2	9901.95	4325.53	5932.58	4151.32	5446.51	3485.77	2803.23	7686.01	5157.71	6130.85	3354.72	2427.73	6902.92	4234.17	2964.44	7762.72	7696.56	6688.28	4506.81	6392.64	9547.16	4549.14	12639.4	6037.08	3474.54	6371.34
A0A3Q2HVB6	22535.9	18171	24069.9	12007	26841.5	43245	38755.8	40227.5	16043.3	17910.1	24095.5	9652.52	31435.6	33417.7	49971.2	32434.5	39956.6	42932.2	9811.28	24117.8	19697.6	54294.9	50231.5	38319.8	48962.4	7911.85
A0A3Q2HVQ1	168.679	226.153	296.532	122.884	153.451	155.222	182.586	262.856	278.912	109.659	257.641	131.677	223.956	305.094	163.455	112.177	203.588	222.953	211.306	188.809	139.198	167.013	153.358	278.052	294.637	281.062
A0A3Q2HW24	452.558	252.691	845.781	985.23	735.99	510.836	341.573	645.248	2174.09	1257.22	1038.07	1293.28	120.664	676.781	191.118	295.402	339.362	668.97	3850.02	339.055	577.738	359.358	823.177	533.574	1175.17	1069.21
A0A3Q2HWQ6	858.041	1653.51	800.847	850.783	546.22	984.651	794.463	718.732	612.905	1249.13	680.52	645.617	881.973	1060.34	1015.48	1046.98	954.389	753.266	571.936	1015.12	631.054	696.88	717.836	1151.67	526.221	566.286
A0A3Q2I0V0	39.6827	NA	24.5524	NA	NA	NA	NA	25.346	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.6083	NA	NA	NA	NA	48.5889	NA	29.2339	NA
A0A3Q2I2D6	236.204	337.737	166.581	99.2386	181.261	266.802	461.577	471.341	96.1612	425.218	462.768	923.359	166.217	282.631	257.294	180.173	159.678	299.475	313.054	180.137	140.505	168.733	210.341	210.754	1141.41	175.914
A0A3Q2I2H1	3.91075	NA	NA	4.44388	3.05215	8.34379	8.4865	NA	NA	4.0898	NA	NA	9.56109	NA	10.86138	NA	10.50665	5.00364	3.94168	NA	NA	7.12183	4.18309	NA	NA	NA
A0A3Q2I3K2	297.273	2183.09	889.214	644.135	673.182	322.53	3545.02	291.523	518.093	146.877	378.138	3551.85	277.285	426.039	447.506	89.3575	31.7215	329.947	298.09	49.1643	218.952	83.6061	103.57	284.423	693.36	489.747
A0A3Q2I3W5	1037.24	2301.97	2652.94	1965.34	4312.95	993.398	12674.2	989.165	2550.09	1152.94	1038.99	13217	220.073	20426.1	1238.09	590.004	280.183	778.191	2235.94	248.185	NA	598.31	NA	706.588	4872.39	1833.99
A0A3Q2I424	1063.75	531.679	755.169	362.16	263.947	628.179	1214.13	1271.12	678.237	720.694	454.717	300.971	489.15	775.126	602.687	649.923	863.945	678.213	554.827	997.166	505.322	487.739	576.807	926.168	644.08	960.243
A0A3Q2I4S4	10.77909	20.8431	19.9767	11.7331	NA	5.5219	NA	14.0524	11.7794	16.3611	13.8955	25.8529	12.1798	16.7358	8.80094	6.98834	9.87816	12.9877	3.48164	14.441	NA	10.34198	10.89613	13.9242	5.54572	NA
A0A3Q2I6R8	1317.12	782.163	1197.25	620.297	1413.73	595.383	1308.49	710.933	598.288	656.534	770.08	766.371	913.578	1604.53	1309.33	622.415	644.973	1024.79	635.216	527.596	989.105	597.592	546.699	768.809	NA	1372.76
A0A3Q2I8H8	222.297	246.54	285.159	77.6938	89.9299	222.638	356.169	259.094	115.198	99.3213	139.81	113.951	138.074	593.671	215.003	360.186	214.766	340.436	135.557	405.1	73.1401	127.397	289.998	457.684	386.957	289.487
A0A3Q2I9Y1	55.2171	143.322	420.658	214.564	408.375	169.508	828.301	147.731	824.53	286.906	234.488	266.461	127.729	380.455	315.507	806.473	88.8922	64.9299	387.662	106.773	89.9965	35.9795	27.5865	59.2967	80.659	156.79
F6VFV9	186.785	263.609	225.392	111.248	174.217	41.1334	190.675	187.655	131.676	93.2183	138.855	130.94	48.5476	183.168	377.56	35.089	38.6974	92.6252	82.8738	14.0835	66.1707	773.115	16.0038	73.0041	89.3896	440.772
A0A3Q2ID60	NA	NA	NA	3.82828	NA	NA	NA	NA	NA	5.53	NA	NA	2.87127	NA	NA	1.955675	2.96684	NA	NA	4.76484	NA	NA	NA	NA	NA	NA
A0A3Q2IDD2	29.0299	80.5551	87.0179	63.6326	17.3929	64.089	39.5482	19.7815	34.6886	114.01	58.3708	58.921	46.0878	58.5505	43.427	35.5991	38.2428	46.593	29.1651	48.6519	47.6172	33.2627	17.7142	38.9931	30.8243	20.6548
A0A3Q2IE19	175.412	288.276	498.825	332.135	553.22	183.594	821.746	320.253	616.218	306.56	758.831	101.732	269.089	376.429	106.423	156.275	230.772	283.633	291.947	184.188	495.663	175.767	185.619	153.42	514.83	713.074
A0A3Q2IEU7	52.061	101.912	74.9204	55.9317	77.5714	47.3168	131.733	50.3226	56.9827	33.4522	53.1064	332.361	26.356	75.4434	48.1127	65.3692	18.877	33.3688	77.7364	37.352	46.9476	54.8342	28.6437	57.995	57.1766	95.0344
A0A3Q2KM06	101.058	56.0821	90.3681	29.0817	49.6961	15.6994	191.579	125.042	53.1039	25.5565	38.0683	43.4326	34.9215	196.202	94.8859	27.4271	49.052	141.762	82.1112	58.8932	85.9028	87.3991	57.6083	81.6679	122.899	101.851
A0A3Q2KUV4	1115.54	799.11	758.691	646.202	452.475	462.15	837.207	889.253	222.438	176.161	617.638	185.679	401.051	594.546	700.617	555.302	336.321	1024.15	409.812	406.54	370.569	834.098	438.432	920.978	1046.14	529.871
A0A3Q2L7R0	13.0869	91.7625	31.8806	43.0451	9.07205	65.0617	11.5363	19.5525	NA	88.513	19.6032	NA	53.2586	49.9454	28.7783	39.5938	36.2595	43.6207	NA	58.227	17.154	26.628	22.4067	36.3942	27.3367	NA
A0A3Q2L7X0	106.754	51.7178	91.9709	46.714	60.5175	76.9954	98.938	57.8601	33.4057	46.3534	71.5516	104.754	NA	105.652	81.9192	64.1695	52.3121	107.01	38.1778	57.0722	46.2513	39.0031	97.7492	128.956	192.232	29.8898
A0A3Q2LBD1	29.6152	9.82884	18.5209	25.1286	18.6096	7.83978	119.342	46.8378	NA	22.4883	13.0308	NA	5.4017	33.4327	7.55527	9.48483	7.46458	45.3011	18.6244	11.9366	29.9123	49.4904	17.8069	14.5152	42.9249	NA
A0A3Q2LBE4	33.2863	7.35646	NA	NA	10.90625	NA	189.867	83.4611	32.6397	115.883	36.3264	25.6971	32.3168	NA	22.2064	35.7844	24.7037	42.7854	195.006	8.51939	NA	56.2791	2.88231	18.7361	49.0056	166.25
